Product Name,Category,Dosage Form,Price,Trademark,Brand Origin,Country,Rating
Khử mùi dạng xịt Etiaxil Déodorant Anti - Transpirant Protection 48h Pieds kiểm soát tuyến mồ hôi chân (100ml),"Lăn khử mùi, xịt khử mùi",Dạng xịt,229100.0,ETIAXIL,Pháp,Pháp,NULL
Mặt nạ ngủ mặt dạng gel Care:Nel Aqua Night Mask dưỡng ẩm cho da suốt 8 giờ (15ml),Dưỡng da mặt,Dạng kem,45500.0,CARE:NEL,Hàn Quốc,Hàn Quốc,5.0
Nước nhuộm phủ bạc - nâu hạt dẻ Seedbee Water Coloring Medium Brown Nbiyan (30g),Chăm sóc tóc - da đầu,Dung dịch,249000.0,NBIYAN,Hàn Quốc,Hàn Quốc,5.0
Nước nhuộm phủ bạc - nâu đen Seedbee Water Coloring Dark Brown Nbiyan (30g),Chăm sóc tóc - da đầu,Dung dịch,249000.0,NBIYAN,Hàn Quốc,Hàn Quốc,5.0
Nước nhuộm phủ bạc - đen tự nhiên Seedbee Water Coloring Natural Black (30g),Chăm sóc tóc - da đầu,Dung dịch,249000.0,NBIYAN,Hàn Quốc,Hàn Quốc,NULL
Dầu tẩy trang làm sạch sâu Softymo Deep Cleansing Oil lớp trang điểm trên bề mặt da (230ml),"Nước tẩy trang, dầu tẩy trang",Dạng dầu,134250.0,NULL,Nhật Bản,Nhật Bản,NULL
Dầu tẩy trang Softymo Speedy Cleansing Oil Kosé làm sạch nhanh lớp mascara và trang điểm trên da (230ml),"Nước tẩy trang, dầu tẩy trang",Dạng dầu,134250.0,NULL,Nhật Bản,Nhật Bản,NULL
Xịt trị mụn Fixderma Salyzap for Body Acne Body Spray làm thông thoáng lỗ chân lông (50ml),Chăm sóc da mặt,Dạng xịt,339000.0,Fixderma,Mỹ,Ấn Độ,5.0
Tinh chất ngăn chặn kép Transino Melano Signal Essence trắng sáng da (30g),Chăm sóc da mặt,Serum,1250000.0,Transino,Nhật Bản,Nhật Bản,5.0
"Kem Sebamed Extreme Dry Skin Relief Face Cream 5% dưỡng ẩm, làm dịu, phục hồi da khô, viêm da cơ địa (50ml)","Sữa dưỡng thể, kem dưỡng thể",Dạng kem,400000.0,Sebamed,Đức,Đức,NULL
"Dưỡng tóc Yanagiya Hair Tonic hương bưởi ngăn ngừa tóc gãy rụng, thưa mỏng và gàu (240ml)","Dưỡng tóc, ủ tóc",Dung dịch,219000.0,YANAGIYA,Nhật Bản,Nhật Bản,5.0
Kem dưỡng ẩm da lô hội Aloins Eaude Cream S 180g dùng cho mặt và toàn thân,"Sữa dưỡng thể, kem dưỡng thể",Dạng kem,360000.0,NULL,Nhật Bản,Nhật Bản,NULL
"Dầu dừa mát xa Bé Con Sense Plus dưỡng ẩm, giữ ấm, giảm rôm, sẩy và cứt trâu cho bé (50ml)",Dầu dừa,Dung dịch,145000.0,Sense Plus,Việt Nam,Việt Nam,5.0
